"","Value","Groups","Rank","Taxa"
"236",0,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"237",10,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"238",53,"Floor",5,"g__Trichoderma padj = 6.3058e-05"
"239",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"240",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"241",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"242",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"243",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"244",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"245",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"246",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"247",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"248",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"249",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"250",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"251",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"252",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"253",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"254",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"255",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"256",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"257",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"258",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"259",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"260",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"261",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"262",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"263",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"264",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"265",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"266",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"267",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"268",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"269",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"270",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"271",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"272",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"273",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"274",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"275",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"276",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"277",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"278",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"279",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"280",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"281",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"282",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"283",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"284",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
