"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"7593df3aac7355706d08ac097e064ce6","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Tricellula","s__Tricellula_sp"
"ba7265cde6548d318b5e505c7f1ab5b8","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Arthrocatena","s__Arthrocatena_sp"
"183e70fc9be70e72a213a32d9fefb8ad","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Microbotryomycetes_fam_Incertae_sedis","g__Curvibasidium","s__"
"681176150bf09429d42b84375c57724b","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Zymoseptoria","s__Zymoseptoria_sp"
"7c92a380a727cafd42df5029f99f335b","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","s__Acremonium_hyalinulum"
"bebf0c105aa968d832e304158fa9cb23","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Constantinomyces","s__Constantinomyces_macerans"
"b0e512b8f29f760b9b7e09c7f9c94afe","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__Phaeosphaeria_sp"
"37d286d46d14e108af57787906e525fc","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Parastagonospora","s__"
"5283f7b65f8a41354b577fb49c915f0a","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Perenniporia","s__Perenniporia_subacida"
"60eee13c3fc3dca84a869f09b09ae81d","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__Aureobasidium_pullulans"
"e3d0785a6085cb93c2998888a97798d1","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrype","s__Diatrype_stigma"
"5004973fd34beb1f10c2bee936e4f0b0","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Neoantrodia","s__"
"f5383cfeac43b1f7e62b72c552129b12","k__Fungi","p__","c__","o__","f__","g__","s__"
"363655694273441ea84159adcf8ff656","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__","s__"
"947c632c59cc1208f576d90bfef474c7","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Jeremyomyces","s__Jeremyomyces_labinae"
"e5269e6bfe2160bf755e295cf232d255","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Buckleyzymaceae","g__Buckleyzyma","s__Buckleyzyma_aurantiaca"
"228f544f7537db32f3795ed664f9872e","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Ceratobasidiaceae_gen_Incertae_sedis","s__Ceratobasidiaceae_sp"
"2516712af7519e84f77464919e9be08c","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__"
"fb5f69eaf9195658b668d6478e267df5","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora","s__Leptospora_galii"
"2099dc4c9b693164518c4d0b137675e5","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Xylobolus","s__Xylobolus_frustulatus"
"8b7a10422fcb7de72539a9ab0dc58c7c","k__Fungi","p__","c__","o__","f__","g__","s__"
"9eb12da3f9dc1c13447e4992fae5c113","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__"
"b765eea8cc010294d6caf2e6cf243f8d","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Apenidiella","s__Apenidiella_sp"
"ddaafa87c3801796f7620fa9c00a8dc8","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Mollisiaceae","g__Phialocephala","s__Phialocephala_fortinii"
"5242e09eec82089a5296a72bf622c11a","k__Fungi","p__Ascomycota","c__Candelariomycetes","o__Candelariales","f__Candelariaceae","g__Candelariella","s__"
"55c0ca3f2b235fbcfd12e4cd71f8239f","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Magnaporthales","f__Magnaporthaceae","g__Arxiella","s__Arxiella_celtidis"
"93432d35dbade346a56397e2bdfb2188","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis","s__Fungi_sp"
"b6a309280d1975fe8d97209c9f4805c1","k__Fungi","p__","c__","o__","f__","g__","s__"
"f9ff38b62ca313d5d6c2e50cf119e29f","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","s__"
