"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"71accc7545b175ae6547767712d9ce4d","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__","g__","s__"
"7a0970dffd0b41a6ea78fe13ac29d01b","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Myrmecridiales","f__Myrmecridiaceae","g__Myrmecridium","s__Myrmecridium_pulvericola"
"7daf1cb005339df2d1e3870dacbde724","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis","s__Fungi_sp"
"8433145b65b520f360d4e6cdc8aef688","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Kurtzmaniella","s__Kurtzmaniella_quercitrusa"
"88d15e31c1d0652a3f089da321228fdc","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"89006485793cce7a68daf48877ce9f69","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Podosporaceae","g__Cladorrhinum","s__Cladorrhinum_flexuosum"
"8eb41a6ed2ca4dade7d43a195646a670","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","g__Plectosphaerella","s__Plectosphaerella_niemeijerarum"
"8fa9cd56180f4cdace6bbd9cc0c418d8","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"90fec4422e2f1c5b0943a81445ff2706","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Talaromyces","s__Talaromyces_assiutensis"
"911f13c528ea3c26ab7084846998e6bd","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Psathyrella","s__"
"92bcf76e679c8f1fa7b84778553dbf9a","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium","s__"
"9440be68f1aa475d9d6eb735cd249a07","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaeta","s__Pyrenochaeta_sp"
"9d61e189ca96bb6a312836b9bdafb9bf","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Wickerhamomyces","s__Wickerhamomyces_sydowiorum"
"9ed87945980ba599746461903ed85ecc","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"a4e6a9d669607151649dfdff0cfdfbc6","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Paecilomyces","s__Paecilomyces_variotii"
"a6849abb5177928421101cce1bc8d720","k__Fungi","p__","c__","o__","f__","g__","s__"
"a7284ac263f75c3f2672fbfb66e04393","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__","g__","s__"
"aa907fa810ba0bdeffd9c806eda430a9","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium","s__"
"abcdbfa0ba667504c4f2927c9549e448","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__","s__"
"ad0bede9a4514000b8b73cb0de9dc9fb","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__"
"adb51d3df9fe4a484fa920c4dc7f642a","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__Naganishia_albida"
"b21d9fd38aefdc9cf5351219a9ae3dec","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Phaeomoniellales","f__Phaeomoniellaceae","g__Moristroma","s__"
